,Store Name,Age,Comments Count,average rate,Positive Rating,Negative Rating,Last month,Last3Month,Last6Month,Last Year
386,סמארט דיל ,13,866,4.64,824,37,2,14,20,38
387,נינג ה פולו ,16,758,4.64,686,57,0,6,10,25
388,אינקדיפו ,11,342,4.64,327,14,0,1,1,10
389,אננס גלובל ,14,104,4.64,102,2,2,4,4,10
390,סלפי ,9,771,4.63,720,48,15,25,68,94
391,קלאב פארם ,5,389,4.63,366,20,9,30,48,85
392,SPORTAL ,18,95,4.63,90,5,0,0,0,17
393,תותח ,6,43,4.63,36,7,0,0,4,7
394,דיגיטל אלקטריק ,13,1326,4.62,1200,119,11,46,82,140
395,פרינטר דיל ,8,478,4.62,417,54,0,20,35,76
396,שוק החשמל ,2,95,4.62,87,8,3,10,17,81
397,סיטי דיל ,21,2068,4.61,1704,351,37,115,198,333
398,איי סל ,15,214,4.61,180,33,0,1,4,28
399,דרור כלי עבודה ,11,170,4.61,155,13,0,7,15,44
400,אור מובייל ,5,106,4.61,86,20,5,11,16,25
401,חשמל חצי חינם ,4,47,4.61,41,6,1,2,10,16
402,דוידי ,20,1766,4.6,1559,182,2,6,12,47
403,אדס מחשבים ,20,448,4.6,395,48,0,0,1,9
404,אפ מזגנים ,7,58,4.6,56,2,1,2,2,9
405,עולם הקולנוע ,10,2184,4.59,1833,325,3,41,102,247
406,רוקי ספורט ,18,687,4.59,607,75,1,5,23,33
407,אלכסנדר ,16,286,4.58,240,44,2,9,22,34
408,ברז ,19,11,4.57,10,1,3,5,5,6
409,דיו ישראל ,16,239,4.5600000000000005,203,31,1,8,15,24
410,דמבו ,9,223,4.5600000000000005,218,5,6,6,6,8
411,ג נרל ,18,74,4.5600000000000005,65,8,2,2,4,8
412,Electro Y ,7,73,4.5600000000000005,70,3,0,3,3,8
413,מוזספון ,2,30,4.5600000000000005,29,1,0,1,2,8
414,אולטרה שופ ,2,21,4.5600000000000005,19,1,1,3,4,8
415,בלילה ,11,10,4.5600000000000005,8,2,1,3,6,8
416,סקופ דיגיטל ,6,228,4.54,198,28,3,8,18,59
417,דיאז ,14,251,4.53,186,64,9,23,49,58
418,יהלום הבית ,7,52,4.53,38,12,0,0,4,15
